TITLE,DATE
"A WALK IN THE WOODS",01-11-1983
"MOUNT MCKINLEY",01-11-1983
"EBONY SUNSET",01-18-1983
"WINTER MIST",01-25-1983
"QUIET STREAM",02-1-1983
"WINTER MOON",02-8-1983
"AUTUMN MOUNTAINS",02-15-1983
"PEACEFUL VALLEY",02-22-1983
"SEASCAPE",03-1-1983
"MOUNTAIN LAKE",03-8-1983
"WINTER GLOW",03-15-1983
"SNOWFALL",03-22-1983
"FINAL REFLECTIONS",03-29-1983
"MEADOW LAKE",08-31-1983
"WINTER SUN",09-7-1983
"EBONY SEA",09-14-1983
"SHADES OF GRAY",09-21-1983
"AUTUMN SPLENDOR",09-28-1983
"BLACK RIVER",10-5-1983
"BROWN MOUNTAIN",10-12-1983
"REFLECTIONS",10-19-1983
"BLACK & WHITE SEASCAPE",10-26-1983
"LAZY RIVER",11-2-1983
"BLACK WATERFALL",11-9-1983
"MOUNTAIN WATERFALL",11-16-1983
"FINAL GRACE",11-23-1983
"MOUNTAIN RETREAT",01-4-1984
"BLUE MOON",01-11-1984
"BUBBLING STREAM",01-18-1984
"WINTER NIGHT",01-25-1984
"DISTANT HILLS",02-1-1984
"COVERED BRIDGE",02-8-1984
"QUIET INLET",02-15-1984
"NIGHT LIGHT",02-22-1984
"THE OLD MILL",03-1-1984
"CAMPFIRE",03-8-1984
"RUSTIC BARN",03-15-1984
"HIDDEN LAKE",03-22-1984
"PEACEFUL WATERS",03-29-1984
"PURPLE SPLENDOR",09-5-1984
"TRANQUIL VALLEY",09-12-1984
"MAJESTIC MOUNTAINS",09-19-1984
"WINTER SAWSCAPE",09-26-1984
"EVENING SEASCAPE",10-3-1984
"WARM SUMMER DAY",10-10-1984
"CABIN IN THE WOODS",10-17-1984
"WETLANDS",10-24-1984
"COOL WATERS",10-31-1984
"QUIET WOODS",11-7-1984
"NORTHWEST MAJESTY",11-14-1984
"AUTUMN DAYS",11-21-1984
"MOUNTAIN CHALLENGE",11-28-1984
"MOUNTAIN WATERFALL",01-2-1985
"TWILIGHT MEADOW",01-9-1985
"MOUNTAIN BLOSSOMS",01-16-1985
"WINTER STILLNESS",01-23-1985
"QUIET POND",01-30-1985
"OCEAN SUNRISE",02-6-1985
"BUBBLING BROOK",02-13-1985
"ARIZONA SPLENDOR",02-20-1985
"ANATOMY OF A WAVE",02-27-1985
"THE WINDMILL",03-6-1985
"AUTUMN GLORY",03-13-1985
"INDIAN GIRL",03-20-1985
"MEADOW STREAM",03-27-1985
"BLUE RIVER",05-1-1985
"NATURE'S EDGE",05-8-1985
"MORNING MIST",05-15-1985
"WHISPERING STREAM",05-22-1985
"SECLUDED FOREST",05-29-1985
"SNOW TRAIL",06-5-1985
"ARCTIC BEAUTY",06-12-1985
"HORIZONS WEST",06-19-1985
"HIGH CHATEAU",06-26-1985
"COUNTRY LIFE",07-2-1985
"WESTERN EXPANSE",07-9-1985
"MARSHLANDS",07-16-1985
"BLAZE OF COLOR",07-23-1985
"WINTER CABIN",10-2-1985
"SECLUDED LAKE",10-9-1985
"EVERGREEN AT SUNSET",10-16-1985
"MOUNTAIN CABIN",10-23-1985
"PORTRAIT OF SALLY",10-30-1985
"MISTY WATERFALL",11-6-1985
"BARN AT SUNSET",11-13-1985
"MOUNTAIN SPLENDOR",11-20-1985
"LAKE BY MOUNTAIN",11-27-1985
"MOUNTAIN GLORY",12-6-1985
"GREY WINTER",12-13-1985
"DOCK SCENE",12-20-1985
"DARK WATERFALL",12-27-1985
"MISTY ROLLING HILLS",01-2-1986
"LAKESIDE CABIN",01-9-1986
"WARM WINTER DAY",01-16-1986
"WATERSIDE WAY",01-23-1986
"HUNTER'S HAVEN",01-30-1986
"BUBBLING MOUNTAIN BROOK",02-6-1986
"WINTER HIDEAWAY",02-13-1986
"FOOT OF THE MOUNTAIN",02-20-1986
"MAJESTIC PINE",02-27-1986
"CACTUS AT SUNSET",03-6-1986
"MOUNTAIN RANGE",03-13-1986
"LONELY RETREAT",03-20-1986
"NORTHERN LIGHTS",03-27-1986
"WINTER EVERGREENS",04-30-1986
"SURF'S UP",05-7-1986
"RED SUNSET",05-14-1986
"MEADOW ROAD",05-21-1986
"WINTER OVAL",05-28-1986
"SECLUDED BEACH",06-4-1986
"FOREST HILLS",06-11-1986
"LITTLE HOUSE BY THE ROAD",06-18-1986
"MOUNTAIN PASS",06-25-1986
"COUNTRY CHARM",07-2-1986
"NATURE'S PARADISE",07-9-1986
"MOUNTAIN BY THE SEA",07-16-1986
"MOUNTAIN HIDEAWAY",07-23-1986
"TOWERING PEAKS",09-3-1986
"CABIN AT SUNSET",09-10-1986
"TWIN FALLS",09-17-1986
"SECLUDED BRIDGE",09-24-1986
"OCEAN BREEZE",10-1-1986
"AUTUMN WOODS",10-8-1986
"WINTER SOLITUDE",10-15-1986
"GOLDEN SUNSET",10-22-1986
"MOUNTAIN OVAL",10-29-1986
"OCEAN SUNSET",11-5-1986
"TRIPLE VIEW",11-12-1986
"WINTER FROST",11-19-1986
"LAKESIDE CABIN",11-26-1986
"MOUNTAIN STREAM",12-31-1986
"COUNTRY CABIN",01-7-1987
"DAISY DELIGHT",01-14-1987
"HIDDEN STREAM",01-21-1987
"TOWERING GLACIER",01-28-1987
"OVAL BARN",02-4-1987
"LAKESIDE PATH",02-11-1987
"SUNSET OVAL",02-18-1987
"WINTER BARN",02-25-1987
"SUNSET OVER THE WAVES",03-4-1987
"GOLDEN GLOW",03-11-1987
"ROADSIDE BARN",03-18-1987
"HAPPY ACCIDENT",03-25-1987
"GOLDEN KNOLL",04-29-1987
"MOUNTAIN REFLECTIONS",05-6-1987
"SECLUDED MOUNTAIN",05-13-1987
"BRIGHT AUTUMN TREES",05-20-1987
"BLACK SEASCAPE",05-27-1987
"STEEP MOUNTAINS",06-3-1987
"QUIET MOUNTAIN RIVER",06-10-1987
"EVENING WATERFALL",06-17-1987
"TROPICAL SEASCAPE",06-24-1987
"MOUNTAIN AT SUNSET",07-1-1987
"SOFT MOUNTAIN GLOW",07-8-1987
"MOUNTAIN IN AN OVAL",07-15-1987
"WINTER MOUNTAIN",07-22-1987
"ROLLING HILLS",09-2-1987
"FROZEN SOLITUDE",09-9-1987
"MEADOW BROOK",09-16-1987
"EVENING SUNSET",09-23-1987
"MOUNTAIN VIEW",09-30-1987
"HIDDEN CREEK",10-7-1987
"PEACEFUL HAVEN",10-14-1987
"MOUNTAIN EXHIBITION",10-21-1987
"EMERALD WATERS",10-28-1987
"MOUNTAIN SUMMIT",11-4-1987
"CABIN HIDEAWAY",11-11-1987
"OVAL ESSENCE",11-18-1987
"LOST LAKE",11-25-1987
"DISTANT MOUNTAINS",12-30-1987
"MEADOW BROOK SURPRISE",01-6-1988
"MOUNTAIN MOONLIGHT OVAL",01-13-1988
"SNOWY SOLITUDE",01-20-1988
"MOUNTAIN RIVER",01-27-1988
"GRACEFUL MOUNTAINS",02-3-1988
"WINDY WAVES",02-10-1988
"ON A CLEAR DAY",02-17-1988
"RIVERSIDE ESCAPE OVAL",02-24-1988
"SURPRISING FALLS",03-2-1988
"SHADOW POND",03-9-1988
"MISTY FOREST",03-16-1988
"NATURAL WONDER",03-23-1988
"SPLENDOR OF WINTER",04-27-1988
"COLORS OF NATURE",05-4-1988
"GRANDPA'S BARN",05-11-1988
"PEACEFUL REFLECTIONS",05-18-1988
"HIDDEN WINTER MOON OVAL",05-25-1988
"WAVES OF WONDER",06-1-1988
"CABIN BY THE POND",06-8-1988
"FALL STREAM",06-15-1988
"CHRISTMAS EVE SNOW",06-22-1988
"FOREST DAWN OVAL",06-29-1988
"PATHWAY TO AUTUMN",07-6-1988
"DEEP FOREST LAKE",07-13-1988
"PEAKS OF MAJESTY",07-20-1988
