Title,Date
"A Walk in the Woods",-01-11
"Mount McKinley",-01-11
"Ebony Sunset",-01-18
"Winter Mist",-01-25
"Quiet Stream",-02-1
"Winter Moon",-02-8
"Autumn Mountains",-02-15
"Peaceful Valley",-02-22
"Seascape",-03-1
"Mountain Lake",-03-8
"Winter Glow",-03-15
"Snowfall",-03-22
"Final Reflections",-03-29
"Meadow Lake",-08-31
"Winter Sun",-09-7
"Ebony Sea",-09-14
"Shades of Gray",-09-21
"Autumn Splendor",-09-28
"Black River",-10-5
"Brown Mountain",-10-12
"Reflections",-10-19
"Black & White Seascape",-10-26
"Lazy River",-11-2
"Black Waterfall",-11-9
"Mountain Waterfall",-11-16
"Final Grace",-11-23
"Mountain Retreat",-01-4
"Blue Moon",-01-11
"Bubbling Stream",-01-18
"Winter Night",-01-25
"Distant Hills",-02-1
"Covered Bridge",-02-8
"Quiet Inlet",-02-15
"Night Light",-02-22
"The Old Mill",-03-1
"Campfire",-03-8
"Rustic Barn",-03-15
"Hidden Lake",-03-22
"Peaceful Waters",-03-29
"Purple Splendor",-09-5
"Tranquil Valley",-09-12
"Majestic Mountains",-09-19
"Winter Sawscape",-09-26
"Evening Seascape",-10-3
"Warm Summer Day",-10-10
"Cabin in the Woods",-10-17
"Wetlands",-10-24
"Cool Waters",-10-31
"Quiet Woods",-11-7
"Northwest Majesty",-11-14
"Autumn Days",-11-21
"Mountain Challenge",-11-28
"Mountain Waterfall",-01-2
"Twilight Meadow",-01-9
"Mountain Blossoms",-01-16
"Winter Stillness",-01-23
"Quiet Pond",-01-30
"Ocean Sunrise",-02-6
"Bubbling Brook",-02-13
"Arizona Splendor",-02-20
"Anatomy of a Wave",-02-27
"The Windmill",-03-6
"Autumn Glory",-03-13
"Indian Girl",-03-20
"Meadow Stream",-03-27
"Blue River",-05-1
"Nature's Edge",-05-8
"Morning Mist",-05-15
"Whispering Stream",-05-22
"Secluded Forest",-05-29
"Snow Trail",-06-5
"Arctic Beauty",-06-12
"Horizons West",-06-19
"High Chateau",-06-26
"Country Life",-07-2
"Western Expanse",-07-9
"Marshlands",-07-16
"Blaze of Color",-07-23
"Winter Cabin",-10-2
"Secluded Lake",-10-9
"Evergreen at Sunset",-10-16
"Mountain Cabin",-10-23
"Portrait of Sally",-10-30
"Misty Waterfall",-11-6
"Barn at Sunset",-11-13
"Mountain Splendor",-11-20
"Lake by Mountain",-11-27
"Mountain Glory",-12-6
"Grey Winter",-12-13
"Dock Scene",-12-20
"Dark Waterfall",-12-27
"Misty Rolling Hills",-01-2
"Lakeside Cabin",-01-9
"Warm Winter Day",-01-16
"Waterside Way",-01-23
"Hunter's Haven",-01-30
"Bubbling Mountain Brook",-02-6
"Winter Hideaway",-02-13
"Foot of the Mountain",-02-20
"Majestic Pine",-02-27
"Cactus at Sunset",-03-6
"Mountain Range",-03-13
"Lonely Retreat",-03-20
"Northern Lights",-03-27
"Winter Evergreens",-04-30
"Surf's Up",-05-7
"Red Sunset",-05-14
"Meadow Road",-05-21
"Winter Oval",-05-28
"Secluded Beach",-06-4
"Forest Hills",-06-11
"Little House by the Road",-06-18
"Mountain Pass",-06-25
"Country Charm",-07-2
"Nature's Paradise",-07-9
"Mountain by the Sea",-07-16
"Mountain Hideaway",-07-23
"Towering Peaks",-09-3
"Cabin at Sunset",-09-10
"Twin Falls",-09-17
"Secluded Bridge",-09-24
"Ocean Breeze",-10-1
"Autumn Woods",-10-8
"Winter Solitude",-10-15
"Golden Sunset",-10-22
"Mountain Oval",-10-29
"Ocean Sunset",-11-5
"Triple View",-11-12
"Winter Frost",-11-19
"Lakeside Cabin",-11-26
"Mountain Stream",-12-31
"Country Cabin",-01-7
"Daisy Delight",-01-14
"Hidden Stream",-01-21
"Towering Glacier",-01-28
"Oval Barn",-02-4
"Lakeside Path",-02-11
"Sunset Oval",-02-18
"Winter Barn",-02-25
"Sunset Over the Waves",-03-4
"Golden Glow",-03-11
"Roadside Barn",-03-18
"Happy Accident",-03-25
"Golden Knoll",-04-29
"Mountain Reflections",-05-6
"Secluded Mountain",-05-13
"Bright Autumn Trees",-05-20
"Black Seascape",-05-27
"Steep Mountains",-06-3
"Quiet Mountain River",-06-10
"Evening Waterfall",-06-17
"Tropical Seascape",-06-24
"Mountain at Sunset",-07-1
"Soft Mountain Glow",-07-8
"Mountain in an Oval",-07-15
"Winter Mountain",-07-22
"Rolling Hills",-09-2
"Frozen Solitude",-09-9
"Meadow Brook",-09-16
"Evening Sunset",-09-23
"Mountain View",-09-30
"Hidden Creek",-10-7
"Peaceful Haven",-10-14
"Mountain Exhibition",-10-21
"Emerald Waters",-10-28
"Mountain Summit",-11-4
"Cabin Hideaway",-11-11
"Oval Essence",-11-18
"Lost Lake",-11-25
"Distant Mountains",-12-30
"Meadow Brook Surprise",-01-6
"Mountain Moonlight Oval",-01-13
"Snowy Solitude",-01-20
"Mountain River",-01-27
"Graceful Mountains",-02-3
"Windy Waves",-02-10
"On a Clear Day",-02-17
